,country,continent,cluster
1,Afghanistan,Asia,EURASIA
2,Bangladesh,Asia,ASIA_3
3,Benin,Africa,FRANCOPHONE
4,Burkina Faso,Africa,FRANCOPHONE
5,Burundi,Africa,CONGO_BASIN
6,Cambodia,Asia,ASIA_2
7,Cameroon,Africa,FRANCOPHONE
8,Central African Republic,Africa,CONGO_BASIN
9,Chad,Africa,FRANCOPHONE
10,Comoros,Africa,SADC
11,Democratic Republic of the Congo,Africa,CONGO_BASIN
12,Ivory Coast,Africa,FRANCOPHONE
13,Djibouti,Africa,NORTHERN_AFRICA
14,Eritrea,Africa,NORTHERN_AFRICA
15,Ethiopia,Africa,SADC
16,Gambia,Africa,FRANCOPHONE
17,Ghana,Africa,FRANCOPHONE
18,Guinea,Africa,CONGO_BASIN
19,Guinea Bissau,Africa,FRANCOPHONE
20,Haiti,Americas,CARIBBEAN
21,India,Asia,INDIA
22,Kenya,Africa,SADC
23,Dem. People's Republic of Korea,Asia,EURASIA
24,Kyrgyzstan,Asia,EURASIA
25,Lao People's Democratic Republic,Asia,ASIA_2
26,Lesotho,Africa,SADC
27,Liberia,Africa,SADC
28,Madagascar,Africa,SADC
29,Malawi,Africa,SADC
30,Mali,Africa,FRANCOPHONE
31,Mauritania,Africa,FRANCOPHONE
32,Mozambique,Africa,SADC
33,Myanmar,Asia,ASIA_2
34,Nepal,Asia,ASIA_3
35,Nicaragua,Americas,CENTRAL_AMERICA
36,Niger,Africa,FRANCOPHONE
37,Nigeria,Africa,FRANCOPHONE
38,Pakistan,Asia,ASIA_3
39,Papua New Guinea,Asia,RABIES_FREE_OCE
40,Rwanda,Africa,CONGO_BASIN
41,Sao Tome and Principe,Africa,FRANCOPHONE
42,Senegal,Africa,FRANCOPHONE
43,Sierra Leone,Africa,FRANCOPHONE
44,Solomon Islands,Africa,RABIES_FREE_OCE
45,Somalia,Africa,NORTHERN_AFRICA
46,Sudan,Africa,NORTHERN_AFRICA
47,South Sudan,Africa,NORTHERN_AFRICA
48,Tajikistan,Asia,EURASIA
49,Tanzania,Africa,SADC
50,Togo,Africa,FRANCOPHONE
51,Uganda,Africa,SADC
52,Uzbekistan,UZB,EURASIA
53,Yemen,Asia,MIDDLE_EAST
54,Zambia,Africa,SADC
55,Zimbabwe,Africa,SADC
56,Western Sahara,Africa,WESTERN_AFRICA
57,State of Palestine,Asia,MIDDLE_EAST
